index,source_name,time(MJD),src_raj,f_range(MHz),RFI(MHz)
10,J0835-4510,2020-06-19T17:31:43.000,8h26m01.91s,"(1284.0, 1497.1640625)","[[1284.0, 1292.359375], [1419.421875, 1420.2578125], [1448.6796875, 1461.21875]]"
11,J0825-5010_offset,2020-06-19T17:05:06.000,8h26m01.91s,"(1284.0, 1470.4140625)","[[1285.671875, 1292.359375], [1406.046875, 1406.8828125]]"
12,J0825-5010_offset,2020-06-19T17:03:55.000,8h26m01.91s,"(1284.0, 1497.1640625)","[[1285.671875, 1420.2578125]]"
13,J0835-4510,2020-06-19T16:45:38.000,8h26m01.91s,"(1284.0, 1470.4140625)","[[1285.671875, 1292.359375], [1406.046875, 1406.8828125]]"
14,J0825-5010_offset,2020-05-28T18:15:08.000,8h26m01.91s,"(952.0, 979.625)","[[955.71875, 959.4375]]"
15,J0825-5010_offset,2020-05-28T18:05:36.000,8h26m01.91s,"(952.0, 979.625)","[[955.71875, 959.4375]]"
16,J0825-5010_offset,2020-05-28T18:04:22.000,8h26m01.91s,"(952.0, 979.625)","[[955.71875, 959.4375]]"
17,J0825-5010_offset,2020-05-28T17:57:15.000,8h26m01.91s,"(952.0, 979.625)","[[955.71875, 959.4375]]"
18,J0825-5010_offset,2020-05-28T17:49:17.000,8h26m01.91s,"(952.0, 979.625)","[[955.71875, 965.8125]]"
19,J0825-5010_offset,2020-05-28T17:48:02.000,8h26m01.91s,"(952.0, 979.625)","[[955.71875, 965.8125]]"
20,J0825-5010_offset,2020-05-28T17:42:12.000,8h26m01.91s,"(952.0, 979.625)","[[955.71875, 959.4375]]"
21,J0825-5010_offset,2020-05-28T17:40:58.000,8h26m01.91s,"(952.0, 979.625)","[[955.71875, 959.4375]]"
22,J0825-5010_offset,2020-05-28T17:37:39.000,8h26m01.91s,"(952.0, 979.625)","[[955.71875, 959.4375]]"
23,J0918-1205,2020-07-16T15:56:49.000,8h26m01.91s,"(910.126953125, 1043.041015625)","[[922.0390625, 926.427734375], [927.890625, 927.890625], [928.935546875, 930.3984375], [931.025390625, 931.025390625], [931.861328125, 931.861328125], [933.115234375, 933.32421875], [933.951171875, 934.99609375], [942.310546875, 946.072265625], [952.1328125, 952.1328125]]"
24,J0918-1205_offset,2020-07-16T15:52:44.000,8h26m01.91s,"(910.126953125, 1069.791015625)","[[935.4140625, 940.4296875], [941.892578125, 942.1015625], [942.51953125, 943.7734375], [945.236328125, 945.236328125], [946.490234375, 946.69921875], [947.326171875, 948.37109375], [950.87890625, 950.87890625], [955.685546875, 959.447265625], [965.5078125, 965.5078125], [1003.751953125, 1003.751953125], [1004.169921875, 1004.169921875], [1005.005859375, 1005.005859375], [1006.46875, 1006.46875], [1007.095703125, 1007.095703125], [1007.513671875, 1008.140625], [1008.55859375, 1008.767578125], [1009.185546875, 1010.439453125], [1010.857421875, 1015.455078125], [1015.873046875, 1016.91796875], [1017.75390625, 1017.75390625], [1018.171875, 1018.171875], [1019.216796875, 1019.42578125], [1019.84375, 1019.84375], [1020.470703125, 1026.94921875], [1027.576171875, 1027.78515625]]"
25,J0918-1205,2020-07-16T15:51:31.000,8h26m01.91s,"(910.126953125, 1069.791015625)","[[935.4140625, 939.802734375], [942.51953125, 943.564453125], [946.490234375, 946.69921875], [947.326171875, 948.37109375], [955.685546875, 959.447265625], [965.5078125, 965.5078125], [1012.111328125, 1012.111328125], [1022.560546875, 1022.560546875]]"
26,J0835-4510,2020-07-16T15:44:39.000,8h26m01.91s,"(910.126953125, 1043.041015625)","[[912.634765625, 912.634765625], [913.26171875, 913.6796875], [914.09765625, 917.44140625], [917.859375, 926.427734375], [927.890625, 928.099609375], [928.517578125, 928.517578125], [928.935546875, 930.3984375], [930.81640625, 930.81640625], [933.115234375, 933.32421875], [933.951171875, 934.369140625], [934.787109375, 934.787109375], [942.51953125, 946.072265625], [952.1328125, 952.1328125], [982.435546875, 982.435546875], [983.0625, 983.48046875], [984.31640625, 1018.171875], [1018.58984375, 1019.216796875], [1019.84375, 1020.470703125], [1021.09765625, 1021.306640625]]"
27,J0835-4510,2020-06-25T13:22:00.000,0h00m00s,"(910.126953125, 1016.291015625)","[[922.0390625, 926.427734375], [929.14453125, 930.3984375], [931.861328125, 931.861328125], [932.279296875, 932.279296875], [932.697265625, 932.697265625], [933.115234375, 933.32421875], [933.951171875, 934.16015625], [934.787109375, 934.99609375], [936.041015625, 936.041015625], [937.50390625, 937.50390625], [942.310546875, 946.28125], [953.177734375, 953.8046875], [954.22265625, 962.791015625]]"
28,Unknown,2020-06-25T11:23:58.000,0h00m00s,"(910.126953125, 1043.041015625)","[[911.380859375, 911.798828125], [912.42578125, 912.634765625], [913.470703125, 913.470703125], [913.888671875, 913.888671875], [914.515625, 914.515625], [915.3515625, 916.1875], [916.814453125, 917.0234375], [917.44140625, 917.859375], [918.486328125, 918.6953125], [919.11328125, 919.11328125], [919.740234375, 919.740234375], [920.158203125, 920.78515625], [921.203125, 921.412109375], [922.0390625, 926.427734375], [929.14453125, 930.189453125], [933.115234375, 933.32421875], [933.951171875, 934.16015625], [934.787109375, 934.787109375], [942.310546875, 946.28125], [1010.857421875, 1010.857421875], [1011.275390625, 1011.275390625], [1011.90234375, 1011.90234375], [1013.15625, 1013.365234375]]"
29,B0450-18,2020-06-18T13:36:10.000,8h26m01.91s,"(910.126953125, 1016.291015625)","[[922.0390625, 926.427734375], [927.890625, 927.890625], [929.14453125, 930.3984375], [931.025390625, 931.234375], [932.0703125, 932.279296875], [933.115234375, 933.32421875], [933.951171875, 934.369140625], [934.787109375, 934.99609375], [942.310546875, 946.072265625], [1001.244140625, 1001.244140625], [1001.662109375, 1001.662109375], [1002.2890625, 1003.751953125]]"
30,J0835-4510,2020-06-18T13:02:55.000,8h26m01.91s,"(910.126953125, 1043.041015625)","[[925.173828125, 925.173828125], [935.4140625, 939.802734375], [941.265625, 941.474609375], [942.51953125, 943.564453125], [946.490234375, 946.69921875], [947.326171875, 947.744140625], [948.162109375, 948.37109375], [955.685546875, 959.65625]]"
31,B0450-18,2020-06-18T12:25:29.000,8h26m01.91s,"(910.126953125, 1016.291015625)","[[911.798828125, 911.798828125], [922.0390625, 926.427734375], [929.14453125, 930.3984375], [931.025390625, 931.025390625], [933.115234375, 933.32421875], [933.951171875, 934.99609375], [942.310546875, 946.28125]]"
32,J0835-4510,2020-06-18T11:21:41.000,8h26m01.91s,"(910.126953125, 1016.291015625)","[[922.0390625, 926.845703125], [929.14453125, 930.3984375], [930.81640625, 931.443359375], [932.0703125, 932.279296875], [933.115234375, 933.32421875], [933.951171875, 934.369140625], [934.787109375, 934.99609375], [942.310546875, 946.072265625], [954.849609375, 955.89453125], [956.3125, 956.939453125], [957.56640625, 959.447265625], [960.701171875, 960.701171875], [962.1640625, 962.373046875], [962.791015625, 962.791015625], [963.41796875, 963.626953125], [964.044921875, 964.044921875], [964.462890625, 964.462890625], [964.880859375, 964.880859375], [965.92578125, 965.92578125], [966.34375, 966.552734375], [967.1796875, 967.388671875], [968.224609375, 968.224609375], [968.642578125, 968.8515625], [969.478515625, 969.6875]]"
33,J0825-5010_offset,2020-05-28T17:28:49.000,8h26m01.91s,"(816.0, 951.46875)","[[842.03125, 869.65625], [871.25, 871.25], [934.46875, 940.3125], [942.4375, 951.46875]]"
34,J0825-5010_offset,2020-05-28T17:27:34.000,8h26m01.91s,"(816.0, 951.46875)","[[847.875, 867.0], [868.0625, 868.0625], [935.53125, 939.78125], [942.4375, 951.46875]]"
35,J0825-5010_offset,2020-05-28T17:16:43.000,8h26m01.91s,"(816.0, 951.46875)","[[851.59375, 853.71875], [856.90625, 857.4375], [859.5625, 859.5625], [861.15625, 861.15625], [935.53125, 940.3125], [942.4375, 951.46875]]"
36,J0825-5010_offset,2020-05-28T17:01:08.000,8h26m01.91s,"(680.0, 815.46875)","[[680.53125, 680.53125], [682.65625, 682.65625], [687.96875, 687.96875], [689.5625, 690.09375], [700.71875, 701.25], [702.3125, 702.3125], [703.90625, 703.90625], [706.03125, 706.03125], [718.78125, 718.78125], [720.375, 720.90625], [723.03125, 723.03125], [735.25, 735.25], [736.3125, 736.84375], [747.46875, 747.46875], [748.53125, 748.53125], [749.59375, 749.59375], [753.84375, 753.84375], [758.625, 759.15625], [760.21875, 760.21875], [768.71875, 769.25], [770.3125, 770.3125], [771.375, 771.375], [779.34375, 780.40625], [787.84375, 787.84375], [789.4375, 789.4375], [791.03125, 791.03125], [792.09375, 792.09375], [800.0625, 800.0625], [810.15625, 810.15625]]"
37,J0825-5010_offset,2020-05-28T16:59:55.000,8h26m01.91s,"(680.0, 815.46875)","[[681.59375, 681.59375], [690.09375, 690.625], [692.21875, 692.21875], [700.71875, 701.25], [702.3125, 702.3125], [707.09375, 707.09375], [711.875, 711.875], [718.78125, 719.3125], [720.375, 720.375], [721.4375, 723.5625], [734.1875, 736.3125], [737.90625, 737.90625], [738.96875, 738.96875], [747.46875, 747.46875], [753.84375, 753.84375], [757.03125, 757.5625], [758.625, 759.15625], [768.71875, 768.71875], [770.3125, 771.375], [778.8125, 780.40625], [781.46875, 781.46875], [782.53125, 782.53125], [792.09375, 792.625], [802.71875, 802.71875], [804.84375, 804.84375], [808.03125, 808.03125], [809.625, 809.625]]"
38,J0825-5010_offset,2020-05-28T16:50:56.000,8h26m01.91s,"(650.25, 679.46875)","[[650.78125, 650.78125], [653.96875, 653.96875], [657.6875, 657.6875], [659.8125, 659.8125], [661.40625, 661.40625], [663.53125, 663.53125], [666.71875, 666.71875], [669.375, 669.375], [670.96875, 671.5], [674.15625, 674.15625], [675.75, 675.75]]"
39,J0825-5010_offset,2020-05-28T16:49:43.000,8h26m01.91s,"(650.25, 679.46875)","[[650.78125, 650.78125], [652.375, 652.375], [653.4375, 653.4375], [657.15625, 657.6875], [658.75, 658.75], [663.0, 663.0], [666.1875, 666.1875], [668.3125, 668.3125], [675.75, 678.40625]]"
40,Unknown,2020-05-28T16:38:14.000,8h26m01.91s,"(650.25, 679.46875)","[[651.84375, 651.84375], [655.03125, 655.03125], [657.15625, 657.15625], [659.28125, 659.28125], [661.9375, 661.9375], [664.0625, 664.0625], [666.1875, 666.1875], [667.25, 667.25], [668.84375, 668.84375], [671.5, 671.5], [672.5625, 672.5625], [674.6875, 674.6875]]"
